Company,Recommendations
A,6
AAL,3.10
AAP,2.20
AAPL,1.90
ABBV,2.00
ABC,2.30
ABMD,2.30
ABT,1.90
ACN,6
ADBE,1.80
ADI,1.90
ADM,1.80
ADP,3.00
ADSK,2.10
AEE,2.10
AEP,2.20
AES,1.70
AFL,2.70
AIG,2.20
AIZ,1.60
AJG,2.20
AKAM,2.10
ALB,2.50
ALGN,1.90
ALK,1.80
ALL,2.40
ALLE,2.50
AMAT,2.00
AMCR,3.00
AMD,2.30
AME,2.10
AMGN,2.60
AMP,1.90
AMT,2.00
AMZN,1.70
ANET,2.20
ANSS,2.40
ANTM,1.90
AON,2.60
AOS,2.70
APA,2.40
APD,2.30
APH,2.10
APTV,2.20
ARE,1.60
ATO,2.40
ATVI,1.80
AVB,2.70
AVGO,2.00
AVY,2.20
AWK,2.60
AXP,2.50
AZO,2.20
BA,6
BAC,2.30
BAX,2.10
BBWI,6
BBY,2.50
BDX,2.20
BEN,3.20
BF-B,3.20
BIIB,2.20
BIO,1.50
BK,2.10
BKNG,2.60
BKR,2.00
BLK,1.90
BLL,2.40
BMY,1.90
BR,2.60
BRK-B,2.20
BRO,2.60
BSX,1.80
BWA,2.50
BXP,2.60
C,2.10
CAG,2.70
CAH,2.90
CARR,2.20
CAT,6
CB,6
CBOE,2.50
CBRE,2.00
CCI,2.30
CCL,6
CDAY,6
CDNS,2.40
CDW,2.00
CE,2.10
CERN,2.40
CF,2.10
CFG,2.00
CHD,2.70
CHRW,2.80
CHTR,2.30
CI,2.10
CINF,2.30
CL,2.80
CLX,3.20
CMA,2.90
CMCSA,1.90
CME,2.60
CMG,2.10
CMI,2.30
CMS,2.40
CNC,1.80
CNP,2.00
COF,2.10
COG,2.60
COO,2.30
COP,1.80
COST,2.20
CPB,3.10
CPRT,1.70
CRL,1.70
CRM,1.80
CSCO,2.30
CSX,2.10
CTAS,2.10
CTLT,1.60
CTSH,2.40
CTVA,2.40
CTXS,2.40
CVS,2.00
CVX,2.30
CZR,1.90
D,2.20
DAL,2.10
DD,2.20
DE,2.20
DFS,2.10
DG,1.90
DGX,2.10
DHI,1.80
DHR,1.90
DIS,6
DISCA,2.60
DISCK,3.00
DISH,2.40
DLR,2.10
DLTR,2.60
DOV,2.30
DOW,2.70
DPZ,2.40
DRE,6
DRI,2.10
DTE,2.30
DUK,2.60
DVA,3.00
DVN,1.80
DXC,2.40
DXCM,1.60
EA,2.10
EBAY,2.50
ECL,2.60
ED,3.50
EFX,2.30
